Year,State,Relinquished By Owner Total,Stray At Large Total,Transferred In Total,Owner Intended Euthanasia Total,Other Intakes Total,Animal Type
2021,South Dakota,439,212,135,0,38,Canine
2022,South Dakota,520,84,101,0,103,Canine
2019,Tennessee,8936,18646,2540,326,3946,Canine
2020,Tennessee,7610,12829,2051,241,3709,Canine
2021,Tennessee,8282,13941,1590,247,4406,Canine
2022,Tennessee,7315,15937,1708,219,3962,Canine
2019,Texas,41250,109511,26271,3267,10448,Canine
2020,Texas,32000,64976,28635,2061,11085,Canine
2021,Texas,28005,68088,25702,2090,9995,Canine
2022,Texas,26429,71457,22589,2531,11469,Canine
2019,Utah,3250,8618,3986,2117,792,Canine
2020,Utah,2732,5782,4561,1462,533,Canine
2021,Utah,3405,5639,4103,1148,1405,Canine
2022,Utah,3405,5872,2886,752,2100,Canine
2019,Virginia,4501,5957,6259,120,900,Canine
2020,Virginia,3231,4424,6293,64,678,Canine
2021,Virginia,3751,4572,5336,120,667,Canine
2022,Virginia,4118,5711,5347,136,1019,Canine
2019,Vermont,433,271,430,11,37,Canine
2020,Vermont,300,185,207,8,28,Canine
2021,Vermont,288,178,255,0,48,Canine
2022,Vermont,357,198,222,0,23,Canine
2019,Washington,7043,13761,10792,1617,1227,Canine
2020,Washington,4598,9540,4861,1314,788,Canine
2021,Washington,4886,9885,5265,1091,914,Canine
2022,Washington,5499,11582,5589,979,1076,Canine
2019,Wisconsin,3163,7821,4122,681,1138,Canine
2020,Wisconsin,2818,5990,4477,537,895,Canine
2021,Wisconsin,2578,6360,3552,578,1260,Canine
2022,Wisconsin,3027,7792,3312,437,1369,Canine
2019,West Virginia,2187,2557,175,3,467,Canine
2020,West Virginia,1932,2371,143,9,435,Canine
2021,West Virginia,1868,2443,209,3,567,Canine
2022,West Virginia,1551,2022,190,0,593,Canine
2019,Wyoming,831,1112,779,60,1735,Canine
2020,Wyoming,526,1102,804,58,750,Canine
2021,Wyoming,614,801,660,58,1034,Canine
2022,Wyoming,734,850,592,18,569,Canine
